ssn,age,education,marital-status,relationship,sex,income
888-88-8888,53.0,Masters,Divorced,Unmarried,,
070-07-0070,52.0,Doctorate,Married-civ-spouse,Husband,,
058-05-8058,72.0,HS-grad,Widowed,Unmarried,,
278-27-8278,44.0,,,Unmarried,Male,
506-50-6506,,HS-grad,Married-civ-spouse,Husband,,<=50K
367-36-7367,31.0,Preschool,,Husband,Male,>50K
247-24-7247,25.0,Bachelors,Never-married,Not-in-family,Male,
562-56-2562,33.0,HS-grad,,Not-in-family,Male,
680-68-0680,,,,Own-child,Male,<=50K
842-84-2842,24.0,Assoc-acdm,,Not-in-family,Female,<=50K
031-03-1031,40.0,HS-grad,,,Male,<=50K
705-70-5705,34.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
927-92-7927,29.0,,Married-civ-spouse,Husband,,
948-94-8948,57.0,,Married-civ-spouse,Husband,,<=50K
537-53-7537,82.0,7th-8th,Never-married,Unmarried,Female,
713-71-3713,33.0,9th,Married-civ-spouse,Husband,,<=50K
696-69-6696,,,Widowed,Not-in-family,,<=50K
440-44-0440,32.0,7th-8th,Married-civ-spouse,Husband,,
712-71-2712,36.0,7th-8th,Married-civ-spouse,Husband,Male,>50K
599-59-9599,63.0,7th-8th,Married-civ-spouse,Husband,Male,
473-47-3473,46.0,Bachelors,Never-married,Unmarried,Female,
516-51-6516,43.0,Some-college,Married-civ-spouse,Husband,,<=50K
385-38-5385,26.0,,Married-civ-spouse,Husband,Male,
274-27-4274,34.0,,,Not-in-family,Male,
846-84-6846,30.0,HS-grad,Never-married,,,
881-88-1881,46.0,Some-college,Married-civ-spouse,Husband,Male,
584-58-4584,23.0,,,,Male,<=50K
952-95-2952,53.0,Some-college,Married-civ-spouse,Husband,,
033-03-3033,45.0,HS-grad,Separated,,Female,
014-01-4014,23.0,,Never-married,Not-in-family,,
650-65-0650,22.0,,Never-married,,,<=50K
322-32-2322,19.0,11th,Never-married,Own-child,Female,>50K
204-20-4204,29.0,,Married-civ-spouse,Wife,Female,
126-12-6126,45.0,,Married-civ-spouse,Husband,,
849-84-9849,47.0,Masters,Married-civ-spouse,Husband,Male,>50K
235-23-5235,43.0,,,Husband,Male,<=50K
067-06-7067,25.0,Preschool,Separated,Husband,Male,<=50K
345-34-5345,30.0,HS-grad,,Husband,,>50K
666-66-6666,45.0,Bachelors,Divorced,Not-in-family,,<=50K
346-34-6346,44.0,Assoc-acdm,Divorced,Not-in-family,Female,<=50K
077-07-7077,32.0,HS-grad,Married-civ-spouse,Husband,,
279-27-9279,34.0,Some-college,Never-married,Unmarried,Female,<=50K
166-16-6166,20.0,Some-college,Never-married,Own-child,,
966-96-6966,64.0,Bachelors,Married-civ-spouse,Husband,,>50K
687-68-7687,20.0,11th,,Own-child,Male,<=50K
889-88-9889,42.0,HS-grad,,Husband,Male,<=50K
483-48-3483,53.0,Assoc-voc,Married-AF-spouse,Own-child,Female,
503-50-3503,19.0,10th,,,,
417-41-7417,44.0,Bachelors,Never-married,Not-in-family,Male,<=50K
690-69-0690,38.0,,Never-married,Unmarried,,
151-15-1151,44.0,Bachelors,Married-civ-spouse,Husband,,>50K
943-94-3943,42.0,10th,Never-married,Unmarried,,<=50K
315-31-5315,57.0,,Married-civ-spouse,Husband,Male,>50K
608-60-8608,,,Married-civ-spouse,Husband,Male,
415-41-5415,24.0,,Never-married,Own-child,,
597-59-7597,63.0,Some-college,,Husband,,<=50K
480-48-0480,46.0,Doctorate,Married-civ-spouse,,,>50K
154-15-4154,41.0,Assoc-voc,,Husband,Male,>50K
534-53-4534,48.0,Bachelors,Never-married,Unmarried,Female,<=50K
877-87-7877,41.0,Some-college,Married-civ-spouse,Husband,Male,
964-96-4964,32.0,Bachelors,Widowed,Wife,,
983-98-3983,28.0,Bachelors,Never-married,,Female,>50K
094-09-4094,71.0,Some-college,Married-civ-spouse,Husband,,<=50K
451-45-1451,,Some-college,,Own-child,,
864-86-4864,21.0,10th,,Own-child,Male,>50K
669-66-9669,19.0,Some-college,Never-married,Own-child,Female,<=50K
954-95-4954,22.0,10th,Married-civ-spouse,Husband,Male,<=50K
497-49-7497,59.0,,Married-civ-spouse,,Male,<=50K
558-55-8558,38.0,Some-college,,Not-in-family,Female,<=50K
823-82-3823,47.0,Some-college,,,Male,<=50K
638-63-8638,63.0,Doctorate,Married-spouse-absent,Unmarried,,<=50K
681-68-1681,25.0,,Married-civ-spouse,Husband,Male,
113-11-3113,29.0,HS-grad,Married-civ-spouse,,Male,<=50K
056-05-6056,53.0,Some-college,,Not-in-family,Female,
790-79-0790,40.0,Some-college,Divorced,,Male,<=50K
972-97-2972,24.0,,Never-married,Own-child,,<=50K
809-80-9809,39.0,,Married-civ-spouse,,,<=50K
682-68-2682,28.0,,Separated,Unmarried,Female,
635-63-5635,20.0,Bachelors,Divorced,Unmarried,Female,<=50K
249-24-9249,28.0,,Never-married,Other-relative,Female,
514-51-4514,23.0,7th-8th,Never-married,,Male,<=50K
104-10-4104,57.0,HS-grad,Divorced,Own-child,Female,<=50K
968-96-8968,,Bachelors,,Not-in-family,,<=50K
955-95-5955,23.0,Some-college,Never-married,Own-child,,
854-85-4854,49.0,Bachelors,Married-civ-spouse,Husband,Male,
686-68-6686,35.0,Bachelors,Divorced,Not-in-family,,<=50K
292-29-2292,38.0,11th,Divorced,Unmarried,,
500-50-0500,37.0,HS-grad,Married-civ-spouse,Husband,,
572-57-2572,,Prof-school,Never-married,Own-child,Male,
532-53-2532,34.0,,Divorced,Not-in-family,Male,<=50K
418-41-8418,33.0,HS-grad,Married-civ-spouse,Husband,,<=50K
004-00-4004,37.0,Masters,Married-civ-spouse,Husband,,>50K
536-53-6536,,12th,Never-married,Own-child,,<=50K
587-58-7587,90.0,Assoc-voc,Married-civ-spouse,Own-child,Male,
173-17-3173,17.0,,Never-married,Own-child,Male,
861-86-1861,35.0,,,Unmarried,Male,<=50K
366-36-6366,50.0,Prof-school,Widowed,Unmarried,,
527-52-7527,58.0,,,Not-in-family,Male,
264-26-4264,43.0,Some-college,Divorced,,,<=50K
900-90-0900,29.0,Assoc-voc,Never-married,Not-in-family,Male,
198-19-8198,35.0,11th,Never-married,Not-in-family,Male,>50K
557-55-7557,35.0,HS-grad,Never-married,,,
748-74-8748,68.0,,,,Male,
135-13-5135,51.0,,Divorced,Unmarried,,
133-13-3133,36.0,HS-grad,Married-civ-spouse,Husband,,<=50K
495-49-5495,22.0,,Never-married,,,<=50K
956-95-6956,62.0,1st-4th,Married-spouse-absent,Unmarried,Male,<=50K
256-25-6256,,,Never-married,,,<=50K
935-93-5935,56.0,Bachelors,Married-civ-spouse,Husband,Male,>50K
830-83-0830,33.0,,,,Female,
377-37-7377,47.0,HS-grad,Married-civ-spouse,Husband,Male,
336-33-6336,48.0,Assoc-voc,Never-married,Own-child,Female,<=50K
082-08-2082,57.0,,Married-civ-spouse,Husband,Male,<=50K
826-82-6826,68.0,Doctorate,,,Male,>50K
476-47-6476,24.0,,,,Female,
402-40-2402,18.0,12th,Never-married,Own-child,,<=50K
048-04-8048,,,,Not-in-family,,<=50K
071-07-1071,62.0,Doctorate,Married-civ-spouse,Husband,Male,
443-44-3443,31.0,Some-college,,Unmarried,Female,<=50K
859-85-9859,20.0,9th,Never-married,Not-in-family,Male,
463-46-3463,42.0,HS-grad,,Unmarried,Female,
698-69-8698,29.0,Bachelors,Never-married,,,
799-79-9799,19.0,,Never-married,,Female,<=50K
917-91-7917,39.0,9th,Divorced,,,<=50K
549-54-9549,50.0,,,Husband,,>50K
817-81-7817,,HS-grad,Never-married,Not-in-family,,<=50K
046-04-6046,41.0,,Married-civ-spouse,Wife,,>50K
069-06-9069,64.0,,Married-civ-spouse,Husband,,
409-40-9409,33.0,1st-4th,Widowed,Other-relative,,>50K
879-87-9879,43.0,Masters,,Husband,Male,
426-42-6426,41.0,Assoc-acdm,Married-civ-spouse,Husband,,<=50K
533-53-3533,22.0,9th,Married-AF-spouse,Husband,Male,
125-12-5125,18.0,,Never-married,,Male,<=50K
246-24-6246,41.0,,Married-civ-spouse,Husband,,
646-64-6646,77.0,Assoc-voc,Never-married,Not-in-family,,<=50K
525-52-5525,30.0,Assoc-voc,,,,<=50K
485-48-5485,23.0,Some-college,Never-married,Unmarried,Female,
539-53-9539,,HS-grad,Married-civ-spouse,Husband,Male,>50K
358-35-8358,29.0,Some-college,,Husband,,<=50K
150-15-0150,22.0,HS-grad,Never-married,Own-child,,
909-90-9909,20.0,Some-college,Never-married,Own-child,,<=50K
958-95-8958,51.0,5th-6th,Married-civ-spouse,Husband,Male,
922-92-2922,85.0,Bachelors,,,Male,<=50K
296-29-6296,21.0,Masters,Never-married,Own-child,Female,<=50K
727-72-7727,31.0,HS-grad,Never-married,Own-child,Male,<=50K
017-01-7017,29.0,5th-6th,Divorced,Own-child,Male,<=50K
499-49-9499,28.0,HS-grad,Widowed,Wife,,
858-85-8858,62.0,7th-8th,Widowed,Not-in-family,,
092-09-2092,36.0,5th-6th,Never-married,Not-in-family,,<=50K
665-66-5665,31.0,,Married-civ-spouse,Husband,,
633-63-3633,84.0,Preschool,Widowed,Husband,Male,
903-90-3903,29.0,Bachelors,Married-civ-spouse,,,<=50K
740-74-0740,29.0,,,Wife,Female,>50K
555-55-5555,64.0,,Married-civ-spouse,Other-relative,Female,<=50K
737-73-7737,45.0,Bachelors,Married-civ-spouse,Husband,Male,
352-35-2352,41.0,HS-grad,Married-civ-spouse,Husband,,<=50K
554-55-4554,,HS-grad,Married-civ-spouse,Husband,Male,
827-82-7827,34.0,10th,Married-civ-spouse,Not-in-family,Male,
765-76-5765,18.0,,Never-married,Not-in-family,Male,>50K
551-55-1551,44.0,,Divorced,Unmarried,Female,<=50K
124-12-4124,30.0,HS-grad,Married-spouse-absent,Not-in-family,Male,<=50K
685-68-5685,21.0,,Married-civ-spouse,Husband,Male,<=50K
072-07-2072,62.0,Masters,Divorced,Husband,Female,
342-34-2342,62.0,Masters,Divorced,Husband,Female,
894-89-4894,32.0,,Divorced,Unmarried,Female,
701-70-1701,30.0,Some-college,Never-married,Not-in-family,,
947-94-7947,,10th,Divorced,Own-child,Female,
910-91-0910,33.0,,Married-civ-spouse,,,<=50K
197-19-7197,42.0,Bachelors,,,Female,
841-84-1841,48.0,Masters,Married-civ-spouse,Husband,Male,>50K
431-43-1431,44.0,Bachelors,Never-married,Unmarried,,
754-75-4754,55.0,1st-4th,Married-civ-spouse,Husband,Male,
624-62-4624,38.0,10th,Married-civ-spouse,Husband,Male,<=50K
673-67-3673,29.0,HS-grad,Widowed,Wife,,
550-55-0550,,Assoc-voc,Never-married,Not-in-family,Male,
751-75-1751,38.0,7th-8th,,Not-in-family,Male,<=50K
470-47-0470,21.0,7th-8th,Never-married,Own-child,,<=50K
331-33-1331,33.0,,Separated,,Female,<=50K
520-52-0520,33.0,,Never-married,Own-child,Female,<=50K
699-69-9699,43.0,Masters,,,,<=50K
311-31-1311,52.0,Masters,,Husband,Male,
161-16-1161,19.0,,,,Female,>50K
820-82-0820,63.0,Assoc-acdm,,Husband,,>50K
801-80-1801,,Assoc-voc,Never-married,,Male,>50K
195-19-5195,34.0,Preschool,Separated,Unmarried,Female,>50K
321-32-1321,,Bachelors,Married-civ-spouse,Husband,Male,<=50K
162-16-2162,42.0,Bachelors,Divorced,,,
467-46-7467,33.0,HS-grad,Married-civ-spouse,Wife,Female,>50K
636-63-6636,29.0,HS-grad,Divorced,Husband,Male,>50K
061-06-1061,30.0,Bachelors,,Husband,Male,>50K
807-80-7807,71.0,5th-6th,Never-married,Other-relative,,
963-96-3963,68.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
374-37-4374,,,Married-civ-spouse,Husband,Male,>50K
129-12-9129,42.0,Prof-school,Never-married,Not-in-family,Male,>50K
571-57-1571,58.0,,Widowed,Not-in-family,Female,<=50K
211-21-1211,32.0,HS-grad,Divorced,Not-in-family,Male,<=50K
579-57-9579,27.0,Masters,Married-civ-spouse,Husband,Male,>50K
899-89-9899,25.0,,Never-married,Own-child,Female,
453-45-3453,23.0,Assoc-acdm,Never-married,,,<=50K
573-57-3573,50.0,Bachelors,Married-civ-spouse,Husband,Male,
989-98-9989,84.0,HS-grad,,Other-relative,,
543-54-3543,38.0,Some-college,Married-civ-spouse,Husband,,
588-58-8588,40.0,Some-college,,Unmarried,Female,<=50K
269-26-9269,21.0,Some-college,Never-married,Not-in-family,Male,
340-34-0340,45.0,11th,Separated,Own-child,Male,<=50K
620-62-0620,54.0,Some-college,,Husband,,
219-21-9219,64.0,Bachelors,Married-civ-spouse,Husband,,>50K
170-17-0170,23.0,Preschool,Separated,Other-relative,Female,
578-57-8578,28.0,Bachelors,Never-married,Not-in-family,Female,
213-21-3213,28.0,,Married-civ-spouse,,Male,<=50K
486-48-6486,,,Divorced,Wife,Female,<=50K
155-15-5155,67.0,Bachelors,Married-civ-spouse,Wife,Female,
076-07-6076,24.0,Some-college,Never-married,,,<=50K
273-27-3273,51.0,Bachelors,Married-civ-spouse,Husband,,
816-81-6816,90.0,7th-8th,Separated,Own-child,,>50K
349-34-9349,21.0,,,Own-child,,<=50K
528-52-8528,38.0,Bachelors,Married-civ-spouse,,,
375-37-5375,44.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
813-81-3813,61.0,10th,Separated,Husband,Female,<=50K
015-01-5015,29.0,,Married-civ-spouse,Husband,Male,
208-20-8208,52.0,,,Husband,,
925-92-5925,24.0,Assoc-acdm,,,,<=50K
704-70-4704,,HS-grad,,Unmarried,Male,
706-70-6706,20.0,11th,,,Male,<=50K
884-88-4884,61.0,HS-grad,,Husband,Male,
779-77-9779,,10th,Never-married,Own-child,Female,<=50K
172-17-2172,44.0,Some-college,Married-civ-spouse,Husband,Male,>50K
369-36-9369,85.0,Bachelors,Widowed,Other-relative,Male,
717-71-7717,40.0,Bachelors,Married-civ-spouse,,Male,>50K
593-59-3593,24.0,Bachelors,Never-married,,Male,
110-11-0110,,,Never-married,Not-in-family,,<=50K
670-67-0670,,Bachelors,Married-civ-spouse,,Male,<=50K
746-74-6746,51.0,Some-college,Married-civ-spouse,Husband,Male,>50K
513-51-3513,,Some-college,,,Female,<=50K
975-97-5975,32.0,,Married-civ-spouse,,,>50K
616-61-6616,,,Never-married,,Female,
762-76-2762,21.0,,,Own-child,Female,<=50K
488-48-8488,23.0,HS-grad,,,Female,<=50K
390-39-0390,,Some-college,Married-civ-spouse,Husband,Male,
689-68-9689,45.0,,Married-civ-spouse,,,
134-13-4134,20.0,HS-grad,,Own-child,Male,
832-83-2832,31.0,HS-grad,,Husband,,
054-05-4054,35.0,HS-grad,Never-married,Not-in-family,Male,
511-51-1511,46.0,Bachelors,Married-civ-spouse,Husband,Male,>50K
738-73-8738,64.0,,Married-civ-spouse,,,
019-01-9019,20.0,9th,Never-married,Not-in-family,Female,<=50K
457-45-7457,27.0,HS-grad,Never-married,Other-relative,Male,<=50K
045-04-5045,23.0,Some-college,Never-married,Own-child,Female,<=50K
589-58-9589,39.0,,Never-married,Not-in-family,Female,
250-25-0250,,Bachelors,Married-civ-spouse,Husband,,>50K
484-48-4484,30.0,,Never-married,,Male,<=50K
882-88-2882,,,Married-civ-spouse,Husband,,
316-31-6316,40.0,Bachelors,,Other-relative,,<=50K
487-48-7487,52.0,9th,Married-civ-spouse,Husband,,<=50K
410-41-0410,36.0,Some-college,,Husband,Male,
580-58-0580,56.0,11th,Widowed,,Male,
429-42-9429,24.0,Bachelors,Never-married,,Male,>50K
697-69-7697,29.0,HS-grad,Never-married,,,<=50K
131-13-1131,62.0,12th,Married-civ-spouse,,Male,
196-19-6196,34.0,,Married-civ-spouse,Wife,Female,
265-26-5265,49.0,10th,,Not-in-family,Male,<=50K
724-72-4724,44.0,Assoc-acdm,Married-civ-spouse,Husband,,
969-96-9969,27.0,,Never-married,Not-in-family,,<=50K
757-75-7757,24.0,1st-4th,Married-spouse-absent,Husband,Female,>50K
118-11-8118,61.0,7th-8th,Married-AF-spouse,Husband,Female,
288-28-8288,53.0,,,Husband,,>50K
018-01-8018,40.0,Masters,Divorced,Unmarried,Female,>50K
290-29-0290,44.0,HS-grad,Married-civ-spouse,Husband,,
721-72-1721,,Bachelors,Married-civ-spouse,Wife,,
466-46-6466,74.0,HS-grad,Married-civ-spouse,Husband,,>50K
354-35-4354,25.0,HS-grad,Married-civ-spouse,Husband,,<=50K
628-62-8628,22.0,Bachelors,,Husband,Male,<=50K
064-06-4064,40.0,Some-college,Divorced,Unmarried,,
824-82-4824,28.0,HS-grad,Married-civ-spouse,Husband,,<=50K
674-67-4674,25.0,Assoc-voc,Divorced,Not-in-family,Male,<=50K
930-93-0930,34.0,,Never-married,Own-child,,
871-87-1871,21.0,Some-college,Never-married,,Male,
295-29-5295,18.0,Preschool,Married-civ-spouse,Unmarried,Male,>50K
492-49-2492,55.0,Assoc-acdm,,Husband,,
471-47-1471,62.0,Bachelors,,Husband,Male,>50K
382-38-2382,50.0,9th,Widowed,Husband,Male,<=50K
191-19-1191,39.0,Bachelors,Divorced,Not-in-family,Female,
844-84-4844,30.0,Bachelors,Married-civ-spouse,Husband,,
085-08-5085,24.0,10th,Never-married,Not-in-family,,<=50K
301-30-1301,46.0,HS-grad,Divorced,Unmarried,,<=50K
119-11-9119,22.0,,,Unmarried,,<=50K
032-03-2032,55.0,Bachelors,Married-civ-spouse,Husband,Male,>50K
175-17-5175,27.0,Some-college,Widowed,Not-in-family,,<=50K
063-06-3063,37.0,7th-8th,Married-civ-spouse,Husband,,<=50K
023-02-3023,,,Divorced,,,
865-86-5865,51.0,,Married-civ-spouse,Husband,,
089-08-9089,34.0,11th,Widowed,Unmarried,Female,>50K
206-20-6206,,,Married-civ-spouse,Wife,Female,
912-91-2912,,HS-grad,Never-married,Wife,Male,>50K
034-03-4034,49.0,,Married-civ-spouse,Husband,Male,<=50K
843-84-3843,31.0,Assoc-acdm,Never-married,Not-in-family,Male,<=50K
116-11-6116,27.0,Assoc-acdm,Divorced,Own-child,Male,<=50K
490-49-0490,40.0,,Married-civ-spouse,Husband,Male,
995-99-5995,35.0,Assoc-acdm,Never-married,Not-in-family,Female,<=50K
784-78-4784,45.0,,Married-civ-spouse,Husband,Male,<=50K
391-39-1391,61.0,Assoc-voc,Widowed,Not-in-family,Female,
880-88-0880,50.0,HS-grad,Married-civ-spouse,Husband,,>50K
750-75-0750,56.0,9th,Married-civ-spouse,,Male,
287-28-7287,,Bachelors,Married-civ-spouse,Husband,,>50K
337-33-7337,17.0,,Never-married,Other-relative,Male,
144-14-4144,17.0,,Never-married,Not-in-family,,<=50K
883-88-3883,18.0,10th,,Own-child,,<=50K
062-06-2062,37.0,Masters,Married-civ-spouse,,,<=50K
132-13-2132,19.0,Doctorate,Never-married,Own-child,,>50K
630-63-0630,48.0,,Married-civ-spouse,Husband,Male,
275-27-5275,34.0,,Never-married,Not-in-family,Female,<=50K
661-66-1661,85.0,,Divorced,Other-relative,Male,
293-29-3293,19.0,Some-college,Never-married,Own-child,Female,
908-90-8908,29.0,,Never-married,Unmarried,Female,<=50K
598-59-8598,50.0,Assoc-voc,Married-civ-spouse,Husband,Male,<=50K
759-75-9759,29.0,Bachelors,Married-civ-spouse,Husband,,
073-07-3073,31.0,,Never-married,Not-in-family,,<=50K
407-40-7407,44.0,HS-grad,Married-civ-spouse,,Male,<=50K
988-98-8988,40.0,HS-grad,,Husband,Male,<=50K
454-45-4454,65.0,HS-grad,,,,>50K
862-86-2862,35.0,HS-grad,,Own-child,,
798-79-8798,49.0,Masters,Separated,Not-in-family,,
778-77-8778,35.0,HS-grad,Married-civ-spouse,,,<=50K
743-74-3743,30.0,Some-college,,Not-in-family,Male,
147-14-7147,34.0,,,Unmarried,Male,
691-69-1691,47.0,Bachelors,Never-married,Not-in-family,,<=50K
079-07-9079,33.0,Some-college,Married-civ-spouse,,Male,
335-33-5335,47.0,,Divorced,Unmarried,Female,<=50K
938-93-8938,57.0,HS-grad,,Unmarried,,<=50K
904-90-4904,75.0,5th-6th,Widowed,Not-in-family,,
825-82-5825,40.0,,Married-civ-spouse,Wife,Female,<=50K
326-32-6326,21.0,Bachelors,Never-married,Own-child,Female,
758-75-8758,40.0,,,Husband,Male,>50K
971-97-1971,,,Married-civ-spouse,Husband,Male,
378-37-8378,29.0,HS-grad,Never-married,,Male,<=50K
944-94-4944,34.0,HS-grad,,,Male,
818-81-8818,29.0,Preschool,Never-married,Not-in-family,,<=50K
029-02-9029,24.0,Some-college,Never-married,Own-child,Male,
007-00-7007,42.0,HS-grad,Married-civ-spouse,,Male,<=50K
121-12-1121,32.0,HS-grad,Never-married,Not-in-family,,
108-10-8108,59.0,HS-grad,,,,
932-93-2932,30.0,,Married-civ-spouse,Own-child,Male,<=50K
730-73-0730,42.0,Assoc-voc,Divorced,,,>50K
985-98-5985,22.0,,Never-married,,,<=50K
753-75-3753,24.0,Some-college,Married-spouse-absent,,Female,<=50K
272-27-2272,36.0,HS-grad,,Husband,,
363-36-3363,30.0,,Separated,Own-child,Female,
610-61-0610,22.0,HS-grad,Widowed,Not-in-family,Female,<=50K
040-04-0040,23.0,,,Husband,Male,<=50K
101-10-1101,21.0,HS-grad,,Not-in-family,Female,<=50K
755-75-5755,45.0,,Married-civ-spouse,Husband,Male,>50K
752-75-2752,54.0,10th,Married-civ-spouse,,,<=50K
253-25-3253,58.0,,Married-civ-spouse,Husband,Male,
090-09-0090,46.0,Bachelors,Married-civ-spouse,,,
839-83-9839,46.0,HS-grad,Divorced,Not-in-family,Male,<=50K
648-64-8648,56.0,10th,Divorced,Not-in-family,,<=50K
603-60-3603,32.0,Assoc-acdm,,Husband,Male,<=50K
793-79-3793,,HS-grad,,Husband,,<=50K
284-28-4284,58.0,HS-grad,Widowed,Not-in-family,Female,
002-00-2002,47.0,,Married-spouse-absent,,,<=50K
997-99-7997,27.0,,Married-civ-spouse,Husband,Male,>50K
777-77-7777,35.0,Some-college,,,Male,<=50K
037-03-7037,30.0,HS-grad,,,Male,<=50K
323-32-3323,45.0,,Divorced,Not-in-family,,<=50K
575-57-5575,45.0,,Never-married,Not-in-family,Male,<=50K
629-62-9629,39.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
639-63-9639,17.0,,Never-married,Own-child,,<=50K
845-84-5845,38.0,,Married-civ-spouse,Husband,Male,
641-64-1641,68.0,Doctorate,Divorced,Husband,Female,
477-47-7477,76.0,Prof-school,Married-AF-spouse,Not-in-family,Male,>50K
720-72-0720,35.0,11th,Married-civ-spouse,Husband,,
148-14-8148,61.0,1st-4th,,Husband,Male,
672-67-2672,60.0,Some-college,Married-civ-spouse,Husband,Male,
364-36-4364,47.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
542-54-2542,39.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
080-08-0080,36.0,Some-college,,Husband,Male,<=50K
568-56-8568,23.0,,Married-civ-spouse,Husband,,>50K
933-93-3933,24.0,Some-college,Never-married,Own-child,Female,
464-46-4464,22.0,Assoc-voc,Never-married,,Male,<=50K
333-33-3333,24.0,Some-college,,,Female,
794-79-4794,,HS-grad,Never-married,Not-in-family,Female,
623-62-3623,,,Married-civ-spouse,Husband,Male,
647-64-7647,19.0,11th,,Own-child,Female,<=50K
005-00-5005,,HS-grad,Married-civ-spouse,Other-relative,Male,
420-42-0420,30.0,Some-college,Never-married,,Female,<=50K
668-66-8668,78.0,,Widowed,Husband,Male,
123-12-3123,78.0,Doctorate,Married-civ-spouse,,Male,>50K
012-01-2012,,,Married-civ-spouse,Husband,Male,<=50K
652-65-2652,34.0,HS-grad,Married-civ-spouse,Husband,,>50K
095-09-5095,57.0,HS-grad,Divorced,Unmarried,,
355-35-5355,27.0,Bachelors,Married-civ-spouse,Husband,Male,>50K
965-96-5965,42.0,Some-college,Divorced,Unmarried,,<=50K
398-39-8398,40.0,Bachelors,Never-married,Other-relative,Male,
270-27-0270,30.0,,Never-married,Not-in-family,Male,
475-47-5475,19.0,Some-college,Never-married,Own-child,,<=50K
452-45-2452,46.0,Doctorate,Married-civ-spouse,Husband,Male,>50K
510-51-0510,48.0,Prof-school,Separated,Unmarried,Female,
359-35-9359,,HS-grad,Divorced,Not-in-family,Male,
036-03-6036,34.0,HS-grad,,Not-in-family,Male,<=50K
595-59-5595,62.0,HS-grad,Married-civ-spouse,,,
756-75-6756,26.0,5th-6th,Married-civ-spouse,,Male,
607-60-7607,,Prof-school,Married-civ-spouse,Husband,,
950-95-0950,,HS-grad,Married-civ-spouse,Husband,Male,<=50K
521-52-1521,35.0,,Never-married,Not-in-family,Female,<=50K
043-04-3043,24.0,,Never-married,,Female,<=50K
016-01-6016,41.0,Some-college,Divorced,,Female,
769-76-9769,46.0,Some-college,Married-civ-spouse,,Male,<=50K
999-99-9999,36.0,Assoc-voc,Never-married,,Male,
262-26-2262,48.0,HS-grad,Married-civ-spouse,Husband,Male,
248-24-8248,47.0,10th,Married-civ-spouse,,Male,<=50K
263-26-3263,35.0,11th,Married-civ-spouse,Husband,Male,
242-24-2242,38.0,Some-college,Married-civ-spouse,Husband,,>50K
634-63-4634,31.0,HS-grad,,,,
970-97-0970,87.0,12th,Married-civ-spouse,Husband,,
